invoice_no,customer_id,product_id,date_id,payment_id,mall_id,quantity,price
I112291,C898405,5,20221001,1,8,1,5.23
I204147,C252021,2,20220511,1,1,3,1800.51
I165461,C230766,1,20220111,1,7,1,300.08
I215578,C866033,4,20220408,1,1,2,81.32
I136666,C288416,5,20210104,1,6,2,10.46
I120948,C340089,2,20210808,2,6,4,2400.68
I723062,C225051,1,20221208,1,1,4,1200.32
I321920,C165705,1,20210806,3,6,4,1200.32
I224565,C321527,2,20210702,3,7,1,600.17
I119809,C321889,5,20220604,2,10,1,5.23
I112481,C321609,5,20210707,3,8,5,26.15
I139308,C252600,8,20220604,1,7,2,23.46
I177201,C309645,1,20220402,3,2,5,1500.4
I207465,C296745,1,20221010,3,5,2,600.16
I159487,C104985,1,20210907,3,7,1,300.08
I281274,C130479,1,20220409,3,1,1,300.08
I943072,C358486,4,20220302,3,3,2,81.32
I142738,C208738,1,20210301,1,1,4,1200.32
I304665,C111056,5,20210512,1,4,5,26.15
I247747,C101550,2,20221101,3,5,2,1200.34
I133197,C330779,4,20210402,1,2,2,81.32
I336817,C274936,1,20210308,3,8,1,300.08
I216982,C269751,8,20230201,3,3,4,46.92
I227707,C329163,2,20221001,3,9,4,2400.68
I238456,C305398,5,20220608,3,1,1,5.23
I169894,C165812,1,20210107,3,5,2,600.16
I183571,C339518,5,20220702,1,3,1,5.23
I921232,C235057,6,20211010,3,8,2,71.68
I720017,C730395,5,20220409,1,1,2,10.46
I306845,C605200,5,20220209,1,6,4,20.92
I224122,C236428,1,20220107,1,6,5,1500.4
I195735,C287459,1,20210809,1,1,1,300.08
I297539,C277924,5,20210708,1,6,3,15.69
I160687,C327001,1,20221207,2,5,2,600.16
I615452,C453635,2,20220603,2,3,1,600.17
I423782,C767634,4,20210804,2,6,2,81.32
I123315,C230018,1,20210104,2,10,2,600.16
I959992,C241523,5,20220107,3,3,3,15.69
I300847,C329153,6,20221101,1,5,5,179.2
I170966,C126702,5,20220512,1,5,5,26.15
I317354,C142943,1,20211011,3,4,1,300.08
I737965,C944366,1,20220911,3,1,5,1500.4
I194017,C462011,7,20220301,3,1,5,5250.0
I120850,C204307,1,20210811,1,3,2,600.16
I220285,C162871,5,20220105,1,1,4,20.92
I125700,C244973,2,20221006,1,2,5,3000.85
I533062,C208765,1,20221205,3,6,3,900.24
I200646,C155763,5,20210503,1,1,2,10.46
I191967,C266819,4,20220808,1,1,5,203.3
I232809,C545424,2,20210210,1,3,5,3000.85
I591015,C286181,1,20211209,3,3,1,300.08
I162719,C402433,1,20211112,1,7,5,1500.4
I217650,C236397,5,20211002,2,2,3,15.69
I214129,C309079,1,20211005,2,3,1,300.08
I300799,C116633,5,20220603,3,4,3,15.69
I252528,C333065,7,20220410,2,8,5,5250.0
I147387,C211494,1,20210411,3,6,5,1500.4
I186255,C302831,1,20220811,1,1,1,300.08
I160636,C812053,4,20220404,3,4,4,162.64
I258204,C167183,1,20230302,1,7,1,300.08
I183840,C246719,1,20220803,1,9,1,300.08
I735039,C285422,1,20220108,3,4,1,300.08
I319997,C217049,1,20210304,1,5,5,1500.4
I275695,C297711,3,20220908,3,6,5,75.75
I107255,C211354,8,20210809,3,3,1,11.73
I301538,C281864,5,20210810,3,6,4,20.92
I119469,C234177,1,20210303,2,4,1,300.08
I177957,C653357,1,20210407,3,8,4,1200.32
I527111,C218706,5,20220510,2,4,2,10.46
I152252,C321931,3,20210504,1,6,5,75.75
I381853,C124933,4,20220612,1,7,3,121.98
I926542,C248988,6,20210503,2,1,1,35.84
I263473,C162574,2,20210208,1,1,3,1800.51
I941223,C291911,1,20230302,1,7,5,1500.4
I323436,C153958,5,20220605,2,1,5,26.15
I245250,C125209,2,20220502,3,6,1,600.17
I589196,C320640,6,20220112,1,6,1,35.84
I131492,C729802,5,20210812,3,1,3,15.69
I571614,C208545,8,20220701,2,5,4,46.92
I946433,C387164,7,20230202,2,1,4,4200.0
I557864,C135196,1,20210911,3,6,1,300.08
I334469,C221607,6,20210407,3,1,5,179.2
I307376,C253248,5,20221108,1,3,5,26.15
I136509,C290760,4,20210208,3,6,4,162.64
I194798,C258089,7,20220707,3,6,2,2100.0
I206026,C225105,3,20221211,3,2,1,15.15
I434161,C246484,1,20210305,1,4,2,600.16
I137065,C736428,5,20220101,3,6,4,20.92
I950429,C248884,4,20220903,2,1,2,81.32
I149766,C197308,4,20220204,3,6,3,121.98
I150629,C175449,1,20221012,3,1,3,900.24
I197620,C249092,5,20220804,3,3,2,10.46
I730771,C432132,1,20220508,2,3,5,1500.4
I153278,C127945,6,20220406,3,6,2,71.68
I299533,C282395,5,20220909,1,1,3,15.69
I454983,C737782,8,20221204,2,6,5,58.65
I338302,C123201,4,20210310,2,9,4,162.64
I168181,C805154,1,20210107,1,3,3,900.24
I108543,C330021,1,20220807,2,9,5,1500.4
I120615,C107668,6,20220202,1,5,2,71.68
I248840,C209722,1,20221011,3,6,3,900.24
I283774,C210614,6,20230101,2,5,1,35.84
I212305,C212378,3,20210611,1,7,1,15.15
I111228,C313586,1,20210904,1,1,1,300.08
I214545,C111827,8,20210512,3,4,4,46.92
I213589,C203955,7,20211210,3,9,2,2100.0
I103389,C231964,4,20210905,3,1,1,40.66
I140596,C291641,4,20211109,3,3,2,81.32
I115322,C315386,5,20210110,1,2,1,5.23
I273800,C290158,4,20210108,3,6,2,81.32
I384332,C226218,4,20210409,3,3,1,40.66
I146305,C118742,5,20221107,3,1,2,10.46
I648743,C218295,2,20230201,2,6,5,3000.85
I480974,C230305,5,20211005,2,6,2,10.46
I273435,C282097,5,20210611,1,7,4,20.92
I127616,C179726,3,20211212,2,1,5,75.75
I893043,C838282,1,20221111,1,1,5,1500.4
I162565,C755148,1,20220407,1,5,2,600.16
I300520,C282107,3,20230202,1,3,3,45.45
I299480,C167158,2,20220912,1,3,2,1200.34
I134272,C318225,6,20220112,2,4,1,35.84
I128518,C101108,2,20210609,2,6,1,600.17
I293208,C103073,2,20220702,3,6,1,600.17
I251779,C555827,6,20221203,2,10,5,179.2
I843249,C211245,4,20210401,3,1,4,162.64
I230983,C321993,1,20230203,1,1,1,300.08
I374693,C284366,5,20210311,3,5,2,10.46
I649554,C156360,6,20210208,2,1,3,107.52
I570709,C140082,2,20210809,2,8,1,600.17
I251307,C240510,2,20220101,2,6,1,600.17
I135134,C130016,4,20210103,1,3,1,40.66
I263185,C316261,1,20210903,3,1,5,1500.4
I137332,C205731,2,20210305,3,5,4,2400.68
I632642,C266021,8,20221203,3,6,5,58.65
I234673,C245349,5,20210807,1,4,4,20.92
I138615,C644605,1,20210710,2,1,5,1500.4
I116541,C293936,6,20210907,3,9,2,71.68
I115338,C193298,1,20210109,1,7,3,900.24
I153790,C236969,4,20210905,3,9,1,40.66
I326582,C241450,1,20210911,1,3,3,900.24
I474661,C196296,4,20210810,3,6,5,203.3
I317628,C134069,5,20211109,1,6,3,15.69
I907952,C241442,1,20220708,1,4,2,600.16
I246390,C163444,1,20220306,3,4,4,1200.32
I254528,C339565,4,20210411,3,6,4,162.64
I299925,C202977,1,20211108,1,6,2,600.16
I321373,C237063,5,20220508,3,10,5,26.15
I966684,C108497,6,20220210,3,6,4,143.36
I333100,C247547,1,20220501,1,6,5,1500.4
I647207,C337220,1,20221011,1,1,2,600.16
I305024,C279747,1,20210707,1,1,4,1200.32
I205336,C331127,4,20230102,3,5,1,40.66
I171351,C286564,8,20221002,2,1,1,11.73
I169427,C245894,1,20220312,3,2,5,1500.4
I323785,C501563,6,20210801,3,1,2,71.68
I257286,C152590,4,20211205,1,6,1,40.66
I331405,C772839,1,20220211,3,1,3,900.24
I147079,C222949,1,20220105,1,4,4,1200.32
I130443,C329003,2,20210806,3,5,1,600.17
I643231,C330141,6,20210302,3,1,4,143.36
I295337,C121707,2,20220508,2,6,4,2400.68
I265980,C112452,3,20220104,1,2,1,15.15
I293153,C269710,5,20221011,3,4,2,10.46
I142245,C785507,4,20220112,2,10,3,121.98
I205906,C217834,1,20210402,1,1,4,1200.32
I753100,C216369,5,20210503,3,7,1,5.23
I198308,C611809,5,20211110,1,3,5,26.15
I180570,C210236,2,20210603,3,3,5,3000.85
I251024,C180586,5,20210902,2,6,2,10.46
I145917,C272419,4,20230102,1,2,5,203.3
I613381,C285587,1,20210802,3,6,1,300.08
I193600,C103896,1,20211009,1,5,4,1200.32
I260728,C181912,6,20210304,1,1,5,179.2
I164219,C335107,6,20210306,3,8,4,143.36
I318282,C121510,8,20211201,1,3,2,23.46
I212598,C477489,5,20210701,3,2,3,15.69
I326146,C554087,1,20210107,3,4,2,600.16
I462436,C227695,4,20210909,3,8,3,121.98
I266121,C198568,1,20220501,3,1,4,1200.32
I454912,C251518,6,20220412,1,4,2,71.68
I119678,C506925,7,20210403,3,7,4,4200.0
I133116,C190939,1,20210212,2,1,5,1500.4
I333045,C235178,1,20220912,1,1,1,300.08
I713258,C219983,1,20210301,3,1,3,900.24
I209258,C328444,4,20220707,3,3,5,203.3
I338366,C246641,2,20210103,2,9,5,3000.85
I860717,C259798,1,20211010,2,2,2,600.16
I295440,C215336,5,20221004,2,6,2,10.46
I273820,C339648,5,20220212,1,8,4,20.92
I183583,C201255,4,20221106,3,2,1,40.66
I135098,C322924,1,20220909,3,1,5,1500.4
I176625,C247049,1,20220507,3,4,4,1200.32
I289516,C280253,1,20210411,1,10,5,1500.4
I178637,C152833,1,20210405,1,7,1,300.08
I251184,C259884,4,20210312,1,3,5,203.3
I274883,C216025,5,20220103,3,9,1,5.23
I301433,C697667,1,20210107,3,5,5,1500.4
I716822,C146582,5,20210506,1,6,5,26.15
I670822,C127819,5,20220509,1,1,2,10.46
I206246,C506887,5,20210412,3,1,5,26.15
I213354,C157218,7,20210303,1,1,5,5250.0
I298339,C336104,5,20211206,2,6,1,5.23
I280823,C807852,7,20221208,1,5,3,3150.0
I810580,C305706,6,20211001,2,1,1,35.84
I297768,C310310,1,20210611,3,5,4,1200.32
I943432,C141657,1,20210707,3,6,2,600.16
I204541,C354331,6,20210507,3,1,4,143.36
I163618,C123445,1,20210108,3,7,2,600.16
I561353,C152904,6,20221011,3,3,3,107.52
I101472,C216194,1,20210607,3,3,4,1200.32
I572568,C196813,2,20220212,1,6,4,2400.68
I834928,C242182,1,20221008,2,7,5,1500.4
I722991,C206713,1,20221203,3,10,5,1500.4
I121934,C376889,7,20220710,3,3,1,1050.0
I227368,C147456,1,20221008,3,6,2,600.16
I236127,C634747,1,20211210,3,8,3,900.24
I310335,C293191,1,20220803,2,3,4,1200.32
I925190,C248510,1,20210402,3,3,5,1500.4
I126253,C732384,1,20210202,2,3,5,1500.4
I270096,C660491,5,20220305,1,4,2,10.46
I377607,C274788,8,20221101,1,3,5,58.65
I322886,C289495,7,20220701,3,5,3,3150.0
I326712,C226996,1,20210505,3,4,2,600.16
I159865,C276008,6,20220401,1,6,3,107.52
I103072,C170969,4,20220404,3,2,4,162.64
I236668,C111026,5,20210605,2,9,3,15.69
I249682,C183888,1,20220308,3,4,3,900.24
I971862,C219304,1,20220611,3,1,3,900.24
I678477,C275887,5,20220606,1,8,3,15.69
I326054,C198086,3,20210209,3,3,3,45.45
I284282,C822515,1,20221007,3,6,2,600.16
I237899,C820137,4,20210105,2,10,4,162.64
I411189,C743273,5,20210802,1,3,3,15.69
I225178,C240389,1,20211002,1,1,5,1500.4
I179619,C423734,6,20221110,3,3,3,107.52
I229909,C139077,1,20221005,3,9,5,1500.4
I472142,C842431,2,20210408,3,8,1,600.17
I340111,C222159,2,20220104,3,6,4,2400.68
I244311,C204727,4,20221103,3,3,1,40.66
I208028,C325158,7,20220303,1,8,5,5250.0
I278596,C290548,1,20211205,3,6,3,900.24
I283099,C110711,5,20211212,3,1,1,5.23
I148225,C120095,7,20210706,1,6,4,4200.0
I265543,C116092,4,20220310,1,6,2,81.32
I988233,C114713,5,20210111,3,2,2,10.46
I187305,C150584,2,20221203,2,1,3,1800.51
I193430,C275695,1,20211205,1,3,4,1200.32
I109018,C328169,6,20210907,1,4,3,107.52
I205315,C430942,4,20220306,3,10,5,203.3
I160370,C102275,1,20220702,1,3,1,300.08
I526871,C841591,5,20211204,1,4,2,10.46
I275001,C162681,6,20220405,2,8,4,143.36
I129187,C716629,4,20220608,3,2,2,81.32
I292336,C512978,1,20220905,3,2,4,1200.32
I110467,C155221,1,20220810,3,6,1,300.08
I203525,C335061,1,20220809,3,4,1,300.08
I186437,C283983,7,20220512,2,1,5,5250.0
I329288,C327823,5,20221205,1,6,3,15.69
I140666,C494615,5,20210208,3,3,3,15.69
I289097,C319806,4,20210605,3,6,5,203.3
I173201,C219548,5,20220310,1,7,4,20.92
I935474,C224881,4,20220309,2,4,2,81.32
I335039,C209245,8,20220905,3,5,1,11.73
I300065,C207573,7,20221203,3,9,4,4200.0
I200005,C120804,5,20210903,2,1,1,5.23
I246910,C156004,3,20221202,3,5,2,30.3
I274783,C596756,1,20220703,1,3,1,300.08
I258186,C251433,6,20210502,2,3,4,143.36
I149861,C288298,1,20220512,1,1,4,1200.32
I283199,C270726,1,20210410,1,6,5,1500.4
I255066,C829423,2,20220706,3,1,2,1200.34
I110699,C111251,1,20220711,3,5,4,1200.32
I172592,C269506,2,20210507,3,10,3,1800.51
I255738,C108367,5,20221204,2,1,3,15.69
I198312,C271450,1,20220703,3,1,3,900.24
I631073,C132270,2,20211004,2,7,5,3000.85
I304483,C193793,6,20220503,3,9,5,179.2
I224918,C275631,5,20220111,1,1,5,26.15
I225893,C245407,8,20211004,1,7,4,46.92
I773945,C677850,4,20221212,3,4,4,162.64
I488800,C263908,5,20211110,1,5,2,10.46
I614933,C290106,1,20210505,3,8,1,300.08
I235877,C272155,6,20210603,2,6,5,179.2
I323413,C266213,1,20220901,2,1,1,300.08
I404845,C622685,3,20210904,1,2,1,15.15
I175688,C259229,4,20221009,2,1,5,203.3
I103907,C280853,1,20220410,3,2,4,1200.32
I109766,C106066,5,20220611,3,3,5,26.15
I195981,C257683,2,20210608,1,1,1,600.17
I300522,C323469,4,20220502,1,6,5,203.3
I335770,C336888,4,20220810,2,2,1,40.66
I226742,C724391,1,20211203,3,9,3,900.24
I270709,C632826,1,20210110,1,5,2,600.16
I320883,C282894,7,20210808,1,6,4,4200.0
I306290,C125304,1,20220202,3,6,2,600.16
I440435,C496516,5,20210209,3,3,5,26.15
I321342,C831048,1,20220203,1,1,1,300.08
I273975,C208819,4,20210103,1,7,5,203.3
I117673,C191057,5,20220803,2,5,4,20.92
I234239,C236711,2,20220306,3,1,5,3000.85
I831550,C194063,1,20210405,3,5,4,1200.32
I898132,C210393,1,20211211,3,6,2,600.16
I264104,C177823,2,20220404,3,5,4,2400.68
I257579,C149849,1,20210809,3,5,1,300.08
I854848,C278752,7,20210605,2,8,3,3150.0
I328733,C158114,1,20210708,3,6,3,900.24
I127144,C195508,8,20220311,2,6,1,11.73
I994913,C809683,4,20220703,1,1,1,40.66
I634948,C228735,5,20220309,3,3,3,15.69
I269024,C278483,1,20221208,2,1,1,300.08
I203099,C266175,1,20210112,1,10,1,300.08
I340002,C331539,4,20221212,3,2,2,81.32
I282711,C168973,6,20220706,3,1,3,107.52
I122393,C134708,4,20220706,3,6,1,40.66
I581146,C333988,1,20221112,3,9,5,1500.4
I151425,C110568,1,20221205,1,7,5,1500.4
I752293,C211763,1,20230203,3,10,4,1200.32
I106866,C246898,6,20221001,1,10,4,143.36
I286110,C281244,1,20221112,1,4,4,1200.32
I214882,C582997,8,20220708,1,1,2,23.46
I531648,C156880,1,20220810,3,6,3,900.24
I894668,C253252,7,20221209,1,3,1,1050.0
I247751,C897202,1,20210411,2,7,3,900.24
I238537,C618494,1,20210505,3,2,1,300.08
I329721,C242798,7,20220109,1,1,4,4200.0
I101862,C352919,2,20220212,1,9,2,1200.34
I292866,C152959,1,20210608,3,9,2,600.16
I244481,C104690,1,20221203,2,1,3,900.24
I287543,C272133,1,20210604,3,2,5,1500.4
I181621,C112446,3,20220303,2,8,3,45.45
I282516,C666466,3,20221008,3,9,3,45.45
I139323,C171015,4,20220309,3,3,1,40.66
I339366,C480735,1,20210806,3,2,5,1500.4
I322245,C306346,6,20210506,3,8,4,143.36
I317066,C127551,1,20220401,1,4,1,300.08
I907323,C794449,4,20210609,3,4,3,121.98
I115471,C832397,1,20210611,1,4,5,1500.4
I858783,C307870,2,20220202,1,1,3,1800.51
I115242,C264585,1,20220111,2,5,4,1200.32
I761759,C145059,6,20210609,1,6,2,71.68
I278595,C158616,5,20210906,1,7,3,15.69
I230790,C955218,1,20220602,2,1,3,900.24
I168925,C136395,7,20220105,2,3,3,3150.0
I110823,C334518,1,20220304,1,3,1,300.08
I206043,C187608,1,20210912,1,3,1,300.08
I225004,C195673,5,20210606,2,4,3,15.69
I295604,C327796,2,20210706,1,4,3,1800.51
I233412,C524469,1,20210805,1,10,1,300.08
I246405,C105429,5,20210408,2,5,1,5.23
I184493,C254397,7,20220110,3,6,4,4200.0
I178572,C287355,5,20210605,3,3,1,5.23
I266960,C109885,8,20221005,3,4,5,58.65
I282582,C119723,6,20210706,3,5,5,179.2
I252778,C339202,2,20221207,2,5,1,600.17
I592896,C108465,1,20210502,2,10,4,1200.32
I623959,C103461,4,20210909,3,4,2,81.32
I162663,C502572,2,20220301,1,3,3,1800.51
I252732,C337111,7,20220312,1,6,1,1050.0
I185731,C334686,1,20221003,1,10,1,300.08
I255891,C335904,7,20220304,2,5,5,5250.0
I144011,C119157,4,20210503,1,6,4,162.64
I291710,C559217,1,20220310,3,1,2,600.16
I107888,C574590,1,20210802,2,1,3,900.24
I977597,C919190,4,20220512,1,6,1,40.66
I283132,C185049,1,20220203,1,3,2,600.16
I214598,C111244,4,20210203,3,1,1,40.66
I111221,C136714,1,20220202,2,1,5,1500.4
I158508,C369937,7,20220606,3,6,3,3150.0
I312175,C314546,4,20210611,3,6,3,121.98
I780362,C271866,4,20211206,2,3,1,40.66
I279882,C240837,4,20220306,2,4,5,203.3
I760012,C126598,2,20220602,3,2,5,3000.85
I139536,C882358,5,20210911,2,6,2,10.46
I165544,C388552,5,20210404,1,3,4,20.92
I135321,C863183,5,20210508,3,6,1,5.23
I292262,C539974,8,20220905,3,5,4,46.92
I419999,C317223,5,20220508,1,2,4,20.92
I134879,C184428,8,20220309,3,1,5,58.65
I281376,C299443,2,20210710,1,6,4,2400.68
I169319,C151752,3,20220306,2,4,4,60.6
I227550,C212483,6,20221212,3,3,5,179.2
I161152,C432354,4,20211102,3,6,2,81.32
I201969,C211766,5,20210312,1,2,5,26.15
I271715,C271297,1,20210201,3,4,5,1500.4
I420393,C170711,2,20210205,2,3,4,2400.68
I205094,C101897,1,20210906,3,7,4,1200.32
I305557,C278541,5,20220404,1,2,5,26.15
I151666,C274501,5,20211110,3,8,2,10.46
I280022,C787279,1,20210506,3,10,5,1500.4
I416352,C373731,5,20221205,1,9,3,15.69
I235220,C276445,1,20210410,1,6,2,600.16
I205540,C232136,1,20210206,1,3,2,600.16
I236726,C186023,6,20211210,3,9,2,71.68
I156867,C336395,5,20211212,1,7,5,26.15
I179626,C425857,1,20220403,1,6,1,300.08
I697021,C284961,2,20221103,3,2,5,3000.85
I642158,C257213,1,20210507,1,3,4,1200.32
I136612,C182933,4,20220302,2,3,4,162.64
I201067,C876858,5,20211210,1,1,2,10.46
I189042,C215484,1,20221201,2,1,4,1200.32
I328925,C271255,1,20220806,1,4,2,600.16
I230744,C176802,2,20210407,1,7,2,1200.34
I383351,C207215,1,20211112,1,10,1,300.08
I300350,C235773,8,20210203,2,4,4,46.92
I880901,C214831,5,20210801,3,1,2,10.46
I868386,C269430,4,20210512,3,1,4,162.64
I163935,C297669,1,20210701,2,1,4,1200.32
I327028,C324332,1,20210210,3,2,4,1200.32
I300240,C832533,1,20221110,3,6,5,1500.4
I140289,C292453,4,20210612,2,6,4,162.64
I134212,C135306,1,20211109,1,4,4,1200.32
I335631,C193441,3,20211012,3,6,4,60.6
I186856,C457598,5,20210610,1,1,5,26.15
I274131,C118460,5,20210103,3,7,4,20.92
I402704,C121551,1,20210806,1,2,3,900.24
I158587,C119297,1,20220903,1,6,3,900.24
I332029,C301181,2,20220304,1,3,3,1800.51
I166536,C106583,6,20221102,1,6,5,179.2
I290172,C195405,1,20210611,1,4,4,1200.32
I217749,C105743,2,20220310,1,6,1,600.17
I259652,C304389,5,20220211,3,4,5,26.15
I322307,C119894,5,20220407,1,1,5,26.15
I157026,C329000,2,20210508,1,5,5,3000.85
I282887,C478916,1,20220404,3,6,5,1500.4
I310220,C316343,3,20210109,3,1,4,60.6
I161637,C224991,4,20220705,3,3,4,162.64
I796389,C244694,1,20211109,3,1,1,300.08
I123765,C925796,5,20211102,1,1,3,15.69
I287793,C327954,1,20211211,1,5,4,1200.32
I819684,C323574,1,20211007,3,1,4,1200.32
I310846,C240325,5,20211001,2,3,1,5.23
I270089,C496393,2,20221110,1,5,4,2400.68
I179183,C115059,8,20220909,2,6,1,11.73
I267365,C315888,3,20220905,3,5,1,15.15
I135796,C170508,4,20230303,3,1,2,81.32
I293694,C336846,1,20211204,1,7,5,1500.4
I195497,C387559,1,20220908,2,9,2,600.16
I240580,C625736,3,20230201,1,1,4,60.6
I206307,C251281,1,20210305,2,1,4,1200.32
I170434,C275432,4,20210405,1,4,2,81.32
I281381,C100322,7,20220307,3,9,5,5250.0
I195995,C408592,5,20210512,3,1,3,15.69
I912553,C758661,6,20211007,2,8,1,35.84
I128885,C122866,4,20220106,1,6,5,203.3
I277232,C231470,1,20220803,2,6,1,300.08
I308674,C286611,1,20220404,1,4,5,1500.4
I538788,C155240,6,20210708,1,6,1,35.84
I123864,C121156,2,20221008,3,3,3,1800.51
I317330,C142672,2,20220509,1,6,5,3000.85
I712121,C373154,6,20211109,1,7,1,35.84
I103248,C202349,6,20221203,3,1,2,71.68
I201709,C210240,8,20230203,1,6,5,58.65
I140531,C216013,2,20210503,1,3,3,1800.51
I276989,C253346,7,20210503,2,4,2,2100.0
I215573,C197901,1,20210309,3,8,5,1500.4
I407437,C288544,4,20220609,1,9,5,203.3
I796512,C177280,3,20220703,3,5,4,60.6
I322576,C119068,1,20221007,1,6,2,600.16
I258926,C128834,1,20210408,1,6,1,300.08
I121659,C339085,5,20210406,3,2,3,15.69
I249497,C276263,4,20210107,1,5,3,121.98
I934104,C315154,4,20220802,3,6,5,203.3
I170362,C103888,1,20220310,3,6,4,1200.32
I338183,C222728,1,20210411,3,1,4,1200.32
I225402,C198322,8,20211006,3,6,4,46.92
I196168,C657207,1,20221112,1,1,3,900.24
I580474,C535999,7,20210802,2,10,4,4200.0
I777931,C229071,1,20210504,2,1,5,1500.4
I789368,C199509,4,20210510,3,4,3,121.98
I233250,C303112,1,20211012,3,3,3,900.24
I387354,C128876,2,20210704,3,1,1,600.17
I707819,C261237,1,20221203,2,5,3,900.24
I204897,C997987,1,20221001,3,7,4,1200.32
I203178,C268054,5,20220108,2,3,5,26.15
I262105,C215196,7,20210506,3,7,2,2100.0
I284474,C126883,2,20211210,1,3,1,600.17
I230848,C323917,5,20220501,3,4,4,20.92
I384873,C436520,1,20220301,2,1,2,600.16
I247936,C581116,3,20221008,3,6,3,45.45
I121828,C245572,6,20210605,1,1,5,179.2
I844366,C259676,1,20220206,3,1,2,600.16
I447293,C287764,7,20220205,3,1,2,2100.0
I170003,C747837,5,20220607,3,9,3,15.69
I328770,C214029,1,20220708,3,10,2,600.16
I254075,C211416,1,20211010,1,6,1,300.08
I890999,C310413,3,20220602,3,3,3,45.45
I141658,C172646,4,20221207,1,7,2,81.32
I145372,C169406,1,20210601,3,3,1,300.08
I179759,C192871,6,20211012,3,2,3,107.52
I163528,C190313,3,20211203,3,1,4,60.6
I270441,C123618,1,20220804,3,4,1,300.08
I827488,C622329,1,20220907,1,1,4,1200.32
